Local time,Open,High,Low,Close,Volume
31.01.2022 22:00:00.000 GMT-0000,1.34441,1.35278,1.34340,1.35205,75634.96830000001
01.02.2022 22:00:00.000 GMT-0000,1.35210,1.35874,1.35164,1.35755,71340.65030000001
02.02.2022 22:00:00.000 GMT-0000,1.35738,1.36275,1.35377,1.35947,117403.62999999999
03.02.2022 22:00:00.000 GMT-0000,1.35947,1.36144,1.35046,1.35211,110216.78
04.02.2022 22:00:00.000 GMT-0000,1.35211,1.35211,1.35211,1.35211,0
05.02.2022 22:00:00.000 GMT-0000,1.35211,1.35211,1.35211,1.35211,0
06.02.2022 22:00:00.000 GMT-0000,1.35374,1.35504,1.34900,1.35357,91405.56490000001
07.02.2022 22:00:00.000 GMT-0000,1.35359,1.35636,1.35073,1.35438,77553.25520000001
08.02.2022 22:00:00.000 GMT-0000,1.35438,1.35891,1.35266,1.35329,59046.4134
09.02.2022 22:00:00.000 GMT-0000,1.35327,1.36432,1.35230,1.35556,107667.26900000001
10.02.2022 22:00:00.000 GMT-0000,1.35543,1.36094,1.35136,1.35557,130667.9099
11.02.2022 22:00:00.000 GMT-0000,1.35557,1.35557,1.35557,1.35557,0
12.02.2022 22:00:00.000 GMT-0000,1.35557,1.35557,1.35557,1.35557,0
13.02.2022 22:00:00.000 GMT-0000,1.35507,1.35715,1.34948,1.35278,127631.4956
14.02.2022 22:00:00.000 GMT-0000,1.35278,1.35666,1.34862,1.35372,102480.97219999997
15.02.2022 22:00:00.000 GMT-0000,1.35372,1.36009,1.35285,1.35835,85839.293
16.02.2022 22:00:00.000 GMT-0000,1.35833,1.36378,1.35549,1.36142,109891.41989999998
17.02.2022 22:00:00.000 GMT-0000,1.36136,1.36425,1.35727,1.35839,100777.07010000001
18.02.2022 22:00:00.000 GMT-0000,1.35839,1.35839,1.35839,1.35839,0
19.02.2022 22:00:00.000 GMT-0000,1.35839,1.35839,1.35839,1.35839,0
20.02.2022 22:00:00.000 GMT-0000,1.35834,1.36381,1.35834,1.35973,90481.14049999996
21.02.2022 22:00:00.000 GMT-0000,1.35973,1.36047,1.35381,1.35830,104803.99630000003
22.02.2022 22:00:00.000 GMT-0000,1.35830,1.36203,1.35355,1.35413,90130.3563
23.02.2022 22:00:00.000 GMT-0000,1.35406,1.35491,1.32726,1.33758,201460.04220000003
24.02.2022 22:00:00.000 GMT-0000,1.33754,1.34386,1.33665,1.34054,139649.1549
25.02.2022 22:00:00.000 GMT-0000,1.34054,1.34054,1.34054,1.34054,0
26.02.2022 22:00:00.000 GMT-0000,1.34054,1.34054,1.34054,1.34054,0
27.02.2022 22:00:00.000 GMT-0000,1.33093,1.34314,1.33069,1.34162,162762.63989999998
