Local time,Open,High,Low,Close,Volume
27.04.2003 22:00:00.000 GMT+0100,1.60377,1.60377,1.60377,1.60377,0
04.05.2003 22:00:00.000 GMT+0100,1.60377,1.61860,1.59017,1.60370,674285.8328000002
11.05.2003 22:00:00.000 GMT+0100,1.60532,1.62908,1.60362,1.62247,676172.4712000001
18.05.2003 22:00:00.000 GMT+0100,1.62542,1.64641,1.62477,1.63572,673522.4593999995
25.05.2003 22:00:00.000 GMT+0100,1.63191,1.65455,1.63074,1.63579,675173.8504000001
01.06.2003 22:00:00.000 GMT+0100,1.63000,1.67084,1.62294,1.66156,667475.6671999998
08.06.2003 22:00:00.000 GMT+0100,1.65956,1.67870,1.64117,1.67211,677183.3341999998
15.06.2003 22:00:00.000 GMT+0100,1.67222,1.68989,1.65808,1.66096,674469.3533999999
22.06.2003 22:00:00.000 GMT+0100,1.66200,1.67952,1.64505,1.64838,676161.6041000001
29.06.2003 22:00:00.000 GMT+0100,1.64837,1.67394,1.64537,1.66585,672268.4960000002
06.07.2003 22:00:00.000 GMT+0100,1.66711,1.66746,1.62169,1.62989,672995.8954999999
13.07.2003 22:00:00.000 GMT+0100,1.63013,1.63074,1.58237,1.58915,675037.8452999999
20.07.2003 22:00:00.000 GMT+0100,1.58953,1.62338,1.57715,1.62009,670996.0617000002
27.07.2003 22:00:00.000 GMT+0100,1.61921,1.63084,1.60006,1.60761,667529.4077
03.08.2003 22:00:00.000 GMT+0100,1.61050,1.61876,1.60057,1.60253,674712.8248000002
10.08.2003 22:00:00.000 GMT+0100,1.60378,1.61349,1.59237,1.59660,785300.3212
17.08.2003 22:00:00.000 GMT+0100,1.59630,1.59839,1.57003,1.57473,774876.551
24.08.2003 22:00:00.000 GMT+0100,1.57356,1.58257,1.56169,1.57732,775871.1106000001
31.08.2003 22:00:00.000 GMT+0100,1.57718,1.59079,1.56062,1.58774,773617.2115000001
07.09.2003 22:00:00.000 GMT+0100,1.58830,1.60665,1.57820,1.60218,776765.4442000004
14.09.2003 22:00:00.000 GMT+0100,1.60282,1.63741,1.58491,1.63651,780527.0074000002
21.09.2003 22:00:00.000 GMT+0100,1.64634,1.66276,1.64115,1.65870,796990.1870000002
28.09.2003 22:00:00.000 GMT+0100,1.65740,1.67576,1.64478,1.66327,789569.5757999993
05.10.2003 22:00:00.000 GMT+0100,1.66222,1.67764,1.65583,1.66317,801250.485
12.10.2003 22:00:00.000 GMT+0100,1.66400,1.68135,1.65341,1.67826,759270.3703999999
19.10.2003 22:00:00.000 GMT+0100,1.67840,1.69931,1.66826,1.69447,778575.8198000002
26.10.2003 22:00:00.000 GMT-0000,1.69485,1.70754,1.68744,1.69595,809669.7196
02.11.2003 22:00:00.000 GMT-0000,1.69443,1.69755,1.65663,1.67607,793041.1391
09.11.2003 22:00:00.000 GMT-0000,1.67365,1.69082,1.66300,1.68774,793650.9682000004
16.11.2003 22:00:00.000 GMT-0000,1.68757,1.70772,1.68593,1.70455,812658.8851999998
23.11.2003 22:00:00.000 GMT-0000,1.70463,1.72386,1.69267,1.72148,796573.0858000002
30.11.2003 22:00:00.000 GMT-0000,1.72013,1.73181,1.71651,1.72927,801594.1925999997
07.12.2003 22:00:00.000 GMT-0000,1.72955,1.75075,1.72643,1.74545,797030.3314999999
14.12.2003 22:00:00.000 GMT-0000,1.73586,1.77402,1.73524,1.76484,809288.8037999996
21.12.2003 22:00:00.000 GMT-0000,1.76689,1.77591,1.75968,1.77103,663526.795
28.12.2003 22:00:00.000 GMT-0000,1.77139,1.79467,1.76994,1.79294,630353.0217
04.01.2004 22:00:00.000 GMT-0000,1.79155,1.84938,1.79143,1.84740,814497.1638000001
11.01.2004 22:00:00.000 GMT-0000,1.84698,1.85759,1.79288,1.79792,806868.2502000002
18.01.2004 22:00:00.000 GMT-0000,1.79634,1.85194,1.78198,1.82569,803590.7554999999
25.01.2004 22:00:00.000 GMT-0000,1.82277,1.83805,1.80175,1.82377,851316.6324
01.02.2004 22:00:00.000 GMT-0000,1.82261,1.85143,1.81334,1.84714,812684.1385000001
08.02.2004 22:00:00.000 GMT-0000,1.84311,1.89840,1.84025,1.88500,818633.9211999999
15.02.2004 22:00:00.000 GMT-0000,1.88374,1.91378,1.85606,1.86118,808932.3465999998
22.02.2004 22:00:00.000 GMT-0000,1.86013,1.89425,1.84550,1.86810,821784.3859000001
29.02.2004 22:00:00.000 GMT-0000,1.86728,1.87443,1.81534,1.84579,816108.9587000002
