Local time,Open,High,Low,Close,Volume
30.01.2022 22:00:00.000 GMT-0000,1.33908,1.36275,1.33854,1.35211,463533.41409999976
06.02.2022 22:00:00.000 GMT-0000,1.35374,1.36432,1.34900,1.35557,466340.4124000003
13.02.2022 22:00:00.000 GMT-0000,1.35507,1.36425,1.34862,1.35839,526620.2508
20.02.2022 22:00:00.000 GMT-0000,1.35834,1.36381,1.32726,1.34054,626524.6902000001
27.02.2022 22:00:00.000 GMT-0000,1.33093,1.34370,1.32019,1.32249,677108.3318999999
06.03.2022 22:00:00.000 GMT-0000,1.32241,1.32419,1.30271,1.30343,787911.1106000001
13.03.2022 21:00:00.000 GMT-0000,1.30363,1.32106,1.30000,1.31758,583948.3086999998
20.03.2022 21:00:00.000 GMT-0000,1.31677,1.32984,1.31198,1.31787,544163.8999000002
27.03.2022 22:00:00.000 GMT+0100,1.31798,1.31866,1.30506,1.31112,688886.1505999998
03.04.2022 22:00:00.000 GMT+0100,1.30894,1.31666,1.29816,1.30305,525207.5720999999
10.04.2022 22:00:00.000 GMT+0100,1.30230,1.31471,1.29728,1.30538,668723.7624999998
17.04.2022 22:00:00.000 GMT+0100,1.30439,1.30899,1.28225,1.28343,494739.9419
24.04.2022 22:00:00.000 GMT+0100,1.28304,1.28401,1.24108,1.25671,705122.1851999998
01.05.2022 22:00:00.000 GMT+0100,1.25794,1.26378,1.22757,1.23386,777230.5147
08.05.2022 22:00:00.000 GMT+0100,1.23476,1.24056,1.21550,1.22585,835502.1881999999
15.05.2022 22:00:00.000 GMT+0100,1.22369,1.25244,1.22167,1.24792,682844.6883999999
22.05.2022 22:00:00.000 GMT+0100,1.24707,1.26663,1.24707,1.26275,610697.9012
29.05.2022 22:00:00.000 GMT+0100,1.26093,1.26596,1.24584,1.24859,537953.8955000001
